Figure Order,Figure 3
Figure Title,Period Total Fertility Often Varies More Than Completed Cohort Fertility
Source,TFR data are from the UN World Population Prospects 2024 (United Nations 2024). Completed cohort fertility data are from the Human Fertility Database (Human Fertility Database 2023).
Note,"Figure displays period total fertility rates (TFRs) and completed cohort fertility (CCF) for a select group of countries where sufficient CCF data were available. Cohorts are plotted at their date of birth plus 30 years. For example, the CCF for the 1970 birth cohort is plotted at 2000. We plot the full range of available cohort years from the HFD, which differ by country."

ISO3Alphacode,year,PeriodTFR,CCF,country_name
BLR,2010,1.478,,Belarus
BLR,2011,1.524,,Belarus
BLR,2012,1.623,,Belarus
BLR,2013,1.673,,Belarus
BLR,2014,1.702,,Belarus
BLR,2015,1.728,,Belarus
BLR,2016,1.727,,Belarus
BLR,2017,1.55,,Belarus
BLR,2018,1.457,,Belarus
BLR,2019,1.389,,Belarus
BLR,2020,1.369,,Belarus
BLR,2021,1.371,,Belarus
BLR,2022,1.326,,Belarus
BLR,2023,1.208,,Belarus
CAN,1960,3.82,,Canada
CAN,1961,3.761,,Canada
CAN,1962,3.678,,Canada
CAN,1963,3.588,,Canada
CAN,1964,3.424,,Canada
CAN,1965,3.075,3.077,Canada
CAN,1966,2.752,2.987,Canada
CAN,1967,2.541,2.908,Canada
CAN,1968,2.408,2.833,Canada
CAN,1969,2.356,2.76,Canada
CAN,1970,2.267,2.664,Canada
CAN,1971,2.101,2.546,Canada
CAN,1972,1.937,2.451,Canada
CAN,1973,1.849,2.343,Canada
CAN,1974,1.806,2.198,Canada
CAN,1975,1.799,2.114,Canada
CAN,1976,1.754,2.133,Canada
CAN,1977,1.725,2.107,Canada
CAN,1978,1.68,2.025,Canada
CAN,1979,1.673,1.968,Canada
CAN,1980,1.658,1.927,Canada
CAN,1981,1.632,1.897,Canada
CAN,1982,1.619,1.882,Canada
CAN,1983,1.607,1.873,Canada
CAN,1984,1.609,1.863,Canada
CAN,1985,1.594,1.852,Canada
CAN,1986,1.576,1.844,Canada
CAN,1987,1.563,1.846,Canada
CAN,1988,1.587,1.846,Canada
CAN,1989,1.643,1.845,Canada
CAN,1990,1.696,1.833,Canada
CAN,1991,1.723,1.81,Canada
CAN,1992,1.719,1.804,Canada
CAN,1993,1.693,1.798,Canada
CAN,1994,1.693,1.779,Canada
CAN,1995,1.674,1.767,Canada
CAN,1996,1.63,1.772,Canada
CAN,1997,1.569,1.782,Canada
CAN,1998,1.553,1.786,Canada
CAN,1999,1.541,1.788,Canada
CAN,2000,1.51,1.784,Canada
CAN,2001,1.531,1.795,Canada
CAN,2002,1.513,1.808,Canada
CAN,2003,1.535,1.811,Canada
CAN,2004,1.545,1.828,Canada
CAN,2005,1.566,1.82,Canada
CAN,2006,1.612,1.812,Canada
CAN,2007,1.656,1.813,Canada
CAN,2008,1.684,1.801,Canada
CAN,2009,1.675,1.788,Canada
CAN,2010,1.642,,Canada
CAN,2011,1.627,,Canada
CAN,2012,1.627,,Canada
CAN,2013,1.612,,Canada
CAN,2014,1.614,,Canada
CAN,2015,1.601,,Canada
CAN,2016,1.59,,Canada
CAN,2017,1.548,,Canada
CAN,2018,1.51,,Canada
CAN,2019,1.476,,Canada
CAN,2020,1.413,,Canada
CAN,2021,1.43,,Canada
CAN,2022,1.366,,Canada
CAN,2023,1.349,,Canada
CHE,1960,2.441,,Switzerland
CHE,1961,2.517,,Switzerland
CHE,1962,2.58,,Switzerland
CHE,1963,2.646,,Switzerland
CHE,1964,2.653,,Switzerland
CHE,1965,2.587,2.173,Switzerland
CHE,1966,2.5,2.186,Switzerland
CHE,1967,2.394,2.167,Switzerland
CHE,1968,2.289,2.156,Switzerland
CHE,1969,2.191,2.123,Switzerland
CHE,1970,2.103,2.08,Switzerland
CHE,1971,2.035,2.033,Switzerland
CHE,1972,1.913,1.969,Switzerland
CHE,1973,1.81,1.923,Switzerland
CHE,1974,1.729,1.885,Switzerland
CHE,1975,1.614,1.855,Switzerland
CHE,1976,1.546,1.852,Switzerland
CHE,1977,1.528,1.823,Switzerland
CHE,1978,1.506,1.813,Switzerland
CHE,1979,1.519,1.808,Switzerland
CHE,1980,1.547,1.796,Switzerland
CHE,1981,1.543,1.77,Switzerland
CHE,1982,1.549,1.757,Switzerland
CHE,1983,1.518,1.758,Switzerland
CHE,1984,1.523,1.754,Switzerland
CHE,1985,1.513,1.751,Switzerland
CHE,1986,1.526,1.756,Switzerland
CHE,1987,1.516,1.742,Switzerland
CHE,1988,1.562,1.751,Switzerland
CHE,1989,1.563,1.774,Switzerland
CHE,1990,1.578,1.78,Switzerland
CHE,1991,1.582,1.767,Switzerland
CHE,1992,1.572,1.746,Switzerland
CHE,1993,1.51,1.721,Switzerland
CHE,1994,1.488,1.695,Switzerland
CHE,1995,1.478,1.672,Switzerland
CHE,1996,1.497,1.669,Switzerland
CHE,1997,1.477,1.658,Switzerland
CHE,1998,1.469,1.652,Switzerland
CHE,1999,1.48,1.657,Switzerland
CHE,2000,1.486,1.646,Switzerland
CHE,2001,1.388,1.638,Switzerland
CHE,2002,1.383,1.65,Switzerland
CHE,2003,1.382,1.65,Switzerland
CHE,2004,1.409,1.653,Switzerland
CHE,2005,1.416,1.66,Switzerland
CHE,2006,1.432,1.652,Switzerland
CHE,2007,1.452,1.644,Switzerland
CHE,2008,1.478,1.649,Switzerland
CHE,2009,1.492,1.638,Switzerland
CHE,2010,1.517,,Switzerland
CHE,2011,1.513,,Switzerland
CHE,2012,1.52,,Switzerland
CHE,2013,1.514,,Switzerland
CHE,2014,1.534,,Switzerland
CHE,2015,1.537,,Switzerland
CHE,2016,1.54,,Switzerland
CHE,2017,1.519,,Switzerland
CHE,2018,1.513,,Switzerland
CHE,2019,1.478,,Switzerland
CHE,2020,1.466,,Switzerland
CHE,2021,1.526,,Switzerland
CHE,2022,1.395,,Switzerland
CHE,2023,1.433,,Switzerland
CHL,1960,4.697,,Chile
CHL,1961,4.655,,Chile
CHL,1962,4.602,,Chile
CHL,1963,4.536,,Chile
CHL,1964,4.457,,Chile
CHL,1965,4.364,,Chile
CHL,1966,4.259,,Chile
CHL,1967,4.144,,Chile
CHL,1968,4.025,,Chile
CHL,1969,3.902,,Chile
CHL,1970,3.778,,Chile
CHL,1971,3.654,,Chile
CHL,1972,3.53,,Chile
CHL,1973,3.409,,Chile
CHL,1974,3.293,,Chile
CHL,1975,3.182,,Chile
CHL,1976,3.078,,Chile
CHL,1977,2.981,,Chile
CHL,1978,2.892,,Chile
CHL,1979,2.812,,Chile
CHL,1980,2.744,,Chile
CHL,1981,2.689,,Chile
CHL,1982,2.648,,Chile
CHL,1983,2.619,,Chile
CHL,1984,2.601,,Chile
CHL,1985,2.592,,Chile
CHL,1986,2.589,,Chile
CHL,1987,2.59,,Chile
CHL,1988,2.591,,Chile
CHL,1989,2.589,,Chile
CHL,1990,2.579,,Chile
CHL,1991,2.558,,Chile
CHL,1992,2.478,,Chile
CHL,1993,2.43,,Chile
CHL,1994,2.377,,Chile
CHL,1995,2.353,,Chile
CHL,1996,2.284,,Chile
CHL,1997,2.202,,Chile
CHL,1998,2.149,,Chile
CHL,1999,2.074,,Chile
CHL,2000,2.046,,Chile
CHL,2001,2.007,,Chile
CHL,2002,1.934,,Chile
CHL,2003,1.885,,Chile
CHL,2004,1.844,,Chile
CHL,2005,1.825,,Chile
CHL,2006,1.798,,Chile
CHL,2007,1.826,,Chile
CHL,2008,1.85,,Chile
CHL,2009,1.855,,Chile
CHL,2010,1.844,,Chile
CHL,2011,1.823,,Chile
CHL,2012,1.798,,Chile
CHL,2013,1.786,,Chile
CHL,2014,1.774,,Chile
CHL,2015,1.737,,Chile
CHL,2016,1.686,,Chile
CHL,2017,1.563,,Chile
CHL,2018,1.543,,Chile
CHL,2019,1.43,,Chile
CHL,2020,1.307,,Chile
CHL,2021,1.176,,Chile
CHL,2022,1.255,,Chile
CHL,2023,1.167,,Chile
CZE,1960,2.088,,Czechia
CZE,1961,2.107,,Czechia
CZE,1962,2.123,,Czechia
CZE,1963,2.308,,Czechia
CZE,1964,2.342,,Czechia
CZE,1965,2.187,2.113,Czechia
CZE,1966,2.031,2.092,Czechia
CZE,1967,1.916,2.105,Czechia
CZE,1968,1.848,2.091,Czechia
CZE,1969,1.882,2.09,Czechia
CZE,1970,1.92,2.102,Czechia
CZE,1971,1.989,2.064,Czechia
CZE,1972,2.092,2.04,Czechia
CZE,1973,2.305,2.066,Czechia
CZE,1974,2.457,2.046,Czechia
CZE,1975,2.43,2.022,Czechia
CZE,1976,2.388,2.065,Czechia
CZE,1977,2.34,2.086,Czechia
CZE,1978,2.326,2.087,Czechia
CZE,1979,2.269,2.098,Czechia
CZE,1980,2.076,2.108,Czechia
CZE,1981,1.994,2.107,Czechia
CZE,1982,1.995,2.1,Czechia
CZE,1983,1.967,2.086,Czechia
CZE,1984,1.965,2.08,Czechia
CZE,1985,1.949,2.076,Czechia
CZE,1986,1.919,2.077,Czechia
CZE,1987,1.903,2.069,Czechia
CZE,1988,1.928,2.051,Czechia
CZE,1989,1.868,2.04,Czechia
CZE,1990,1.885,2.033,Czechia
CZE,1991,1.841,2.023,Czechia
CZE,1992,1.708,2,Czechia
CZE,1993,1.652,1.977,Czechia
CZE,1994,1.436,1.967,Czechia
CZE,1995,1.275,1.955,Czechia
CZE,1996,1.185,1.931,Czechia
CZE,1997,1.171,1.913,Czechia
CZE,1998,1.156,1.9,Czechia
CZE,1999,1.136,1.905,Czechia
CZE,2000,1.146,1.881,Czechia
CZE,2001,1.146,1.874,Czechia
CZE,2002,1.167,1.837,Czechia
CZE,2003,1.176,1.821,Czechia
CZE,2004,1.225,1.819,Czechia
CZE,2005,1.281,1.772,Czechia
CZE,2006,1.333,1.76,Czechia
CZE,2007,1.441,1.737,Czechia
CZE,2008,1.508,,Czechia
CZE,2009,1.51,,Czechia
CZE,2010,1.509,,Czechia
CZE,2011,1.427,,Czechia
CZE,2012,1.447,,Czechia
CZE,2013,1.455,,Czechia
CZE,2014,1.526,,Czechia
CZE,2015,1.589,,Czechia
CZE,2016,1.652,,Czechia
CZE,2017,1.715,,Czechia
CZE,2018,1.744,,Czechia
CZE,2019,1.753,,Czechia
CZE,2020,1.763,,Czechia
CZE,2021,1.823,,Czechia
CZE,2022,1.618,,Czechia
CZE,2023,1.448,,Czechia
DNK,1960,2.561,,Denmark
DNK,1961,2.547,,Denmark
DNK,1962,2.549,,Denmark
DNK,1963,2.655,,Denmark
DNK,1964,2.601,,Denmark
DNK,1965,2.608,2.378,Denmark
DNK,1966,2.607,2.349,Denmark
DNK,1967,2.351,2.325,Denmark
DNK,1968,2.119,2.298,Denmark
DNK,1969,1.998,2.265,Denmark
DNK,1970,1.956,2.243,Denmark
DNK,1971,2.038,2.209,Denmark
DNK,1972,2.026,2.167,Denmark
DNK,1973,1.921,2.136,Denmark
DNK,1974,1.898,2.102,Denmark
DNK,1975,1.908,2.06,Denmark
DNK,1976,1.75,2.03,Denmark
DNK,1977,1.663,2.002,Denmark
DNK,1978,1.661,1.974,Denmark
DNK,1979,1.601,1.934,Denmark
DNK,1980,1.54,1.904,Denmark
DNK,1981,1.44,1.895,Denmark
DNK,1982,1.42,1.859,Denmark
DNK,1983,1.378,1.853,Denmark
DNK,1984,1.398,1.851,Denmark
DNK,1985,1.443,1.838,Denmark
DNK,1986,1.476,1.848,Denmark
DNK,1987,1.497,1.861,Denmark
DNK,1988,1.558,1.864,Denmark
DNK,1989,1.617,1.877,Denmark
DNK,1990,1.664,1.9,Denmark
DNK,1991,1.685,1.908,Denmark
DNK,1992,1.755,1.916,Denmark
DNK,1993,1.75,1.923,Denmark
DNK,1994,1.801,1.933,Denmark
DNK,1995,1.801,1.935,Denmark
DNK,1996,1.751,1.931,Denmark
DNK,1997,1.749,1.943,Denmark
DNK,1998,1.723,1.969,Denmark
DNK,1999,1.734,1.982,Denmark
DNK,2000,1.765,1.971,Denmark
DNK,2001,1.742,1.952,Denmark
DNK,2002,1.726,1.958,Denmark
DNK,2003,1.756,1.962,Denmark
DNK,2004,1.779,1.958,Denmark
DNK,2005,1.798,1.958,Denmark
DNK,2006,1.841,1.961,Denmark
DNK,2007,1.842,1.949,Denmark
DNK,2008,1.88,1.93,Denmark
DNK,2009,1.84,1.915,Denmark
DNK,2010,1.858,,Denmark
DNK,2011,1.754,,Denmark
DNK,2012,1.723,,Denmark
DNK,2013,1.67,,Denmark
DNK,2014,1.688,,Denmark
DNK,2015,1.712,,Denmark
DNK,2016,1.775,,Denmark
DNK,2017,1.749,,Denmark
DNK,2018,1.726,,Denmark
DNK,2019,1.698,,Denmark
DNK,2020,1.678,,Denmark
DNK,2021,1.73,,Denmark
DNK,2022,1.559,,Denmark
DNK,2023,1.511,,Denmark
ESP,1960,2.808,,Spain
ESP,1961,2.778,,Spain
ESP,1962,2.804,,Spain
ESP,1963,2.876,,Spain
ESP,1964,2.998,,Spain
ESP,1965,2.926,2.679,Spain
ESP,1966,2.913,2.669,Spain
ESP,1967,2.971,2.662,Spain
ESP,1968,2.923,2.649,Spain
ESP,1969,2.901,2.624,Spain
ESP,1970,2.884,2.59,Spain
ESP,1971,2.898,2.542,Spain
ESP,1972,2.869,2.508,Spain
ESP,1973,2.841,2.48,Spain
ESP,1974,2.871,2.447,Spain
ESP,1975,2.773,2.421,Spain
ESP,1976,2.764,2.376,Spain
ESP,1977,2.653,2.317,Spain
ESP,1978,2.539,2.28,Spain
ESP,1979,2.368,2.221,Spain
ESP,1980,2.212,2.151,Spain
ESP,1981,2.04,2.116,Spain
ESP,1982,1.936,2.086,Spain
ESP,1983,1.799,2.032,Spain
ESP,1984,1.722,1.974,Spain
ESP,1985,1.637,1.934,Spain
ESP,1986,1.554,1.905,Spain
ESP,1987,1.492,1.868,Spain
ESP,1988,1.444,1.823,Spain
ESP,1989,1.396,1.787,Spain
ESP,1990,1.358,1.751,Spain
ESP,1991,1.325,1.71,Spain
ESP,1992,1.306,1.68,Spain
ESP,1993,1.253,1.658,Spain
ESP,1994,1.19,1.638,Spain
ESP,1995,1.153,1.602,Spain
ESP,1996,1.139,1.574,Spain
ESP,1997,1.145,1.555,Spain
ESP,1998,1.131,1.527,Spain
ESP,1999,1.165,1.497,Spain
ESP,2000,1.21,1.476,Spain
ESP,2001,1.231,1.449,Spain
ESP,2002,1.251,1.42,Spain
ESP,2003,1.293,1.402,Spain
ESP,2004,1.313,1.384,Spain
ESP,2005,1.329,1.365,Spain
ESP,2006,1.36,1.357,Spain
ESP,2007,1.379,1.356,Spain
ESP,2008,1.436,1.353,Spain
ESP,2009,1.381,1.357,Spain
ESP,2010,1.366,,Spain
ESP,2011,1.34,,Spain
ESP,2012,1.318,,Spain
ESP,2013,1.277,,Spain
ESP,2014,1.315,,Spain
ESP,2015,1.33,,Spain
ESP,2016,1.332,,Spain
ESP,2017,1.305,,Spain
ESP,2018,1.26,,Spain
ESP,2019,1.23,,Spain
ESP,2020,1.186,,Spain
ESP,2021,1.188,,Spain
ESP,2022,1.205,,Spain
ESP,2023,1.213,,Spain
EST,1960,1.984,,Estonia
EST,1961,1.986,,Estonia
EST,1962,1.957,,Estonia
EST,1963,1.904,,Estonia
EST,1964,1.95,,Estonia
EST,1965,1.899,,Estonia
EST,1966,1.884,,Estonia
EST,1967,1.903,,Estonia
EST,1968,2.02,,Estonia
EST,1969,2.116,,Estonia
EST,1970,2.171,,Estonia
EST,1971,2.204,,Estonia
EST,1972,2.154,,Estonia
EST,1973,2.085,,Estonia
EST,1974,2.08,1.889,Estonia
EST,1975,2.044,1.873,Estonia
EST,1976,2.056,1.889,Estonia
EST,1977,2.055,1.91,Estonia
EST,1978,2.019,1.916,Estonia
EST,1979,2.008,1.988,Estonia
EST,1980,2.025,1.964,Estonia
EST,1981,2.078,2.002,Estonia
EST,1982,2.09,1.951,Estonia
EST,1983,2.168,1.963,Estonia
EST,1984,2.177,1.973,Estonia
EST,1985,2.127,1.97,Estonia
EST,1986,2.172,2.022,Estonia
EST,1987,2.261,2.027,Estonia
EST,1988,2.266,2.035,Estonia
EST,1989,2.209,2.06,Estonia
EST,1990,2.042,2.062,Estonia
EST,1991,1.802,1.994,Estonia
EST,1992,1.697,1.97,Estonia
EST,1993,1.486,1.912,Estonia
EST,1994,1.41,1.882,Estonia
EST,1995,1.372,1.907,Estonia
EST,1996,1.361,1.866,Estonia
EST,1997,1.306,1.874,Estonia
EST,1998,1.272,1.877,Estonia
EST,1999,1.293,1.86,Estonia
EST,2000,1.347,1.867,Estonia
EST,2001,1.315,1.84,Estonia
EST,2002,1.353,1.829,Estonia
EST,2003,1.365,1.861,Estonia
EST,2004,1.465,1.841,Estonia
EST,2005,1.515,1.856,Estonia
EST,2006,1.583,1.854,Estonia
EST,2007,1.685,1.867,Estonia
EST,2008,1.719,1.868,Estonia
EST,2009,1.701,1.879,Estonia
EST,2010,1.716,,Estonia
EST,2011,1.616,,Estonia
EST,2012,1.561,,Estonia
EST,2013,1.524,,Estonia
EST,2014,1.543,,Estonia
EST,2015,1.58,,Estonia
EST,2016,1.603,,Estonia
EST,2017,1.596,,Estonia
EST,2018,1.67,,Estonia
EST,2019,1.661,,Estonia
EST,2020,1.588,,Estonia
EST,2021,1.594,,Estonia
EST,2022,1.41,,Estonia
EST,2023,1.35,,Estonia
FIN,1960,2.719,,Finland
FIN,1961,2.711,,Finland
FIN,1962,2.68,,Finland
FIN,1963,2.675,,Finland
FIN,1964,2.589,,Finland
FIN,1965,2.475,2.299,Finland
FIN,1966,2.404,2.245,Finland
FIN,1967,2.316,2.175,Finland
FIN,1968,2.135,2.144,Finland
FIN,1969,1.93,2.108,Finland
FIN,1970,1.822,2.034,Finland
FIN,1971,1.685,1.973,Finland
FIN,1972,1.575,1.953,Finland
FIN,1973,1.501,1.921,Finland
FIN,1974,1.609,1.892,Finland
FIN,1975,1.678,1.881,Finland
FIN,1976,1.701,1.864,Finland
FIN,1977,1.678,1.863,Finland
FIN,1978,1.642,1.85,Finland
FIN,1979,1.634,1.859,Finland
